name,source,p_value
cytosol,GO:CC,1.9626996448013006e-48
nucleoplasm,GO:CC,1.7696509148411275e-43
cadherin binding,GO:MF,2.2466965649052718e-41
protein binding,GO:MF,3.098593522739589e-41
RNA binding,GO:MF,1.0765612722180226e-39
intracellular membraneless organelle,GO:CC,9.682450168819167e-38
membraneless organelle,GO:CC,9.971183351766794e-38
cell adhesion molecule binding,GO:MF,3.934353682170572e-33
nuclear lumen,GO:CC,4.7529852829312235e-33
intracellular anatomical structure,GO:CC,1.1960295867410783e-30
supramolecular complex,GO:CC,8.583314234220823e-30
anchoring junction,GO:CC,1.2777478823043957e-29
intracellular organelle lumen,GO:CC,6.006901118802712e-29
organelle lumen,GO:CC,6.006901118802712e-29
membrane-enclosed lumen,GO:CC,6.006901118802712e-29
cell-substrate junction,GO:CC,1.5753216883102185e-28
organelle organization,GO:BP,3.3804561594086764e-28
focal adhesion,GO:CC,3.904436037163818e-28
cytoplasm,GO:CC,4.232084381138104e-28
organelle,GO:CC,4.511238700269419e-28
cytoskeleton,GO:CC,2.2937270732320463e-27
intracellular organelle,GO:CC,2.4736860456238344e-27
cytoskeletal protein binding,GO:MF,7.771157253073335e-27
cell junction,GO:CC,8.184263600635672e-26
mRNA binding,GO:MF,2.3214784559294435e-25
cellular component organization or biogenesis,GO:BP,5.5934026191975935e-24
protein-containing complex binding,GO:MF,1.817478964402868e-23
nucleic acid binding,GO:MF,4.539014178378135e-22
actin cytoskeleton,GO:CC,1.4716437411173233e-20
cellular component organization,GO:BP,1.7077054214105397e-20
nucleus,GO:CC,2.1810944153479467e-19
actin binding,GO:MF,2.8942959544816497e-19
nuclear body,GO:CC,2.4617094994439084e-17
enzyme binding,GO:MF,8.717757584858768e-17
actin filament bundle,GO:CC,2.1844225599806306e-16
intracellular transport,GO:BP,2.6085998045614365e-16
membrane-bounded organelle,GO:CC,3.5158144975359473e-16
cellular localization,GO:BP,1.1289771182131013e-15
regulation of primary metabolic process,GO:BP,1.2747200070101623e-15
macromolecule localization,GO:BP,1.6982267131403464e-15
actomyosin,GO:CC,2.1930745173439747e-15
binding,GO:MF,2.3956080889021074e-15
contractile actin filament bundle,GO:CC,6.164328557647383e-15
stress fiber,GO:CC,6.164328557647383e-15
regulation of mRNA metabolic process,GO:BP,7.780867364283393e-15
cytoskeleton organization,GO:BP,1.1094226036466098e-14
biological regulation,GO:BP,1.6053600507468134e-14
protein localization,GO:BP,1.819438235290468e-14
extracellular vesicle,GO:CC,2.141516310519996e-14
extracellular organelle,GO:CC,2.2102463626783456e-14
extracellular membrane-bounded organelle,GO:CC,2.2102463626783456e-14
extracellular exosome,GO:CC,2.4192048524104806e-14
cellular macromolecule localization,GO:BP,2.562718032446674e-14
nuclear speck,GO:CC,6.328709731919985e-14
intracellular membrane-bounded organelle,GO:CC,1.4065268872673356e-13
molecular adaptor activity,GO:MF,1.6980694934440258e-13
cell cortex,GO:CC,1.7436184573734654e-13
negative regulation of cellular process,GO:BP,1.7737508528872695e-13
supramolecular fiber,GO:CC,1.8552892696264827e-13
nitrogen compound transport,GO:BP,1.9393406648557744e-13
regulation of cellular process,GO:BP,2.5605804242396425e-13
supramolecular polymer,GO:CC,2.6603717952810424e-13
negative regulation of biological process,GO:BP,3.341552819993697e-13
regulation of biological process,GO:BP,6.064987438371976e-13
establishment of localization in cell,GO:BP,1.1344190701690457e-12
vesicle,GO:CC,2.0689905095160586e-12
protein domain specific binding,GO:MF,4.271160525151446e-12
actin cytoskeleton organization,GO:BP,4.5621001042467806e-12
protein transport,GO:BP,5.4263953539225374e-12
protein-containing complex,GO:CC,5.561814976193504e-12
cytoplasmic stress granule,GO:CC,7.322874253804023e-12
regulation of macromolecule metabolic process,GO:BP,8.126358347423177e-12
actin filament-based process,GO:BP,1.165101541536012e-11
protein-macromolecule adaptor activity,GO:MF,1.2269884527028181e-11
nuclear export,GO:BP,1.4547521815702274e-11
regulation of nucleobase-containing compound metabolic process,GO:BP,1.649190511809016e-11
regulation of metabolic process,GO:BP,1.764357078635627e-11
supramolecular fiber organization,GO:BP,1.8376627501099046e-11
nuclear transport,GO:BP,1.9213007957340895e-11
nucleocytoplasmic transport,GO:BP,1.9213007957340895e-11
establishment of protein localization,GO:BP,6.112109222577916e-11
perinuclear region of cytoplasm,GO:CC,6.290532883758522e-11
