id,complex_name,count,accession_numbers
8372,"Spliceosome, A complex",75,"['O14776', 'O43143', 'O75400', 'Q14011', 'Q86XP3', 'P07910', 'P49756', 'P51991', 'Q99729', 'Q15717', 'P22626', 'P09234', 'O75940', 'Q14498', 'O43670', 'Q8WYA6', 'P17844', 'Q13242', 'Q9BUQ8', 'P62304', 'P62318', 'O95400', 'P84103', 'O43660', 'Q9H307', 'Q13243', 'Q12972', 'Q16629', 'Q9BQ61', 'O43390', 'O43684', 'O43719', 'O60506', 'O75934', 'Q9UQ35', 'P08579', 'P08621', 'Q9UHR5', 'P61978', 'P62306', 'P62314', 'P98175', 'Q01130', 'Q13435', 'O43290', 'Q7RTV0', 'Q8IYB3', 'Q07955', 'Q15459', 'Q9Y3B4', 'Q96I25', 'Q13247', 'Q15427', 'Q15428', 'O43395', 'P35637', 'P67809', 'P09012', 'P09651', 'P09661', 'O75937', 'P11142', 'Q9UMS4', 'Q12874', 'P26368', 'P38159', 'Q7L014', 'Q9P013', 'P62316', 'Q86VM9', 'Q9UHX1', 'Q15287', 'P62995', 'Q15637', 'Q9Y2W2']"
3055,Nop56p-associated pre-rRNA complex,75,"['P50914', 'P55769', 'P83881', 'Q02878', 'P46778', 'Q96SB4', 'P61513', 'P62241', 'Q9NR30', 'P08708', 'P62917', 'Q07020', 'P36578', 'P40429', 'Q6P3W7', 'Q8TDN6', 'Q92522', 'Q14978', 'Q9NW13', 'P62750', 'P62753', 'P62847', 'P62277', 'P47914', 'P62841', 'P62829', 'P62899', 'P49411', 'Q9NX58', 'P05141', 'P05387', 'P18124', 'P18621', 'P26373', 'P30050', 'P46777', 'P62280', 'P62424', 'P62736', 'P83731', 'P84098', 'Q02543', 'P62269', 'P15880', 'P35268', 'P61353', 'P62888', 'Q9BQG0', 'P13639', 'P67809', 'P62081', 'P62263', 'P62266', 'Q9Y3U8', 'P09651', 'P62906', 'P62910', 'P46779', 'P68104', 'P46776', 'P46781', 'P42766', 'P19338', 'P05388', 'P25398', 'P26368', 'P55209', 'Q13610', 'P61247', 'P61254', 'P61313', 'P06748', 'Q9Y383', 'P62273', 'P39023']"
8391,"Spliceosome, E complex",74,"['O43143', 'O43447', 'O75400', 'Q92945', 'P07910', 'P49756', 'Q9Y580', 'P22626', 'P09234', 'O95232', 'Q12872', 'Q14498', 'Q13151', 'P17844', 'Q9BUQ8', 'P62304', 'P62318', 'P84103', 'Q8WWY3', 'Q6NZY4', 'Q13243', 'Q16629', 'O00148', 'O43172', 'O43390', 'O43719', 'O43809', 'O60506', 'O75934', 'Q9UQ35', 'P08579', 'P08621', 'P61978', 'P62306', 'P62314', 'P98175', 'Q01130', 'Q13435', 'Q16630', 'O43290', 'Q86V81', 'Q7RTV0', 'Q07955', 'Q15459', 'Q9Y3B4', 'Q96I25', 'Q13247', 'Q15427', 'Q15428', 'Q9Y230', 'P51531', 'Q8TEQ6', 'O43395', 'P35637', 'P67809', 'P09012', 'P09651', 'P09661', 'O14497', 'O75937', 'Q9UMS4', 'Q9Y4Z0', 'Q10570', 'Q12874', 'P26368', 'Q7L014', 'P62316', 'Q969G3', 'Q96DI7', 'Q9Y383', 'Q9UHX1', 'Q9Y3F4', 'Q15637', 'Q8N684']"
306,"Ribosome, cytoplasmic",67,"['P50914', 'P83881', 'Q02878', 'P60866', 'P46778', 'P61513', 'P62241', 'P08708', 'P62861', 'P62917', 'Q07020', 'P36578', 'P39019', 'P40429', 'P49207', 'P62701', 'P23396', 'P62750', 'P62753', 'P62847', 'P46782', 'P46783', 'P62277', 'P47914', 'P62841', 'P62829', 'P62854', 'P62899', 'P05387', 'P18124', 'P18621', 'P26373', 'P30050', 'P46777', 'P62280', 'P62424', 'P83731', 'P84098', 'Q02543', 'P62269', 'P15880', 'P35268', 'P61353', 'P62888', 'P63220', 'P62081', 'P62263', 'P62266', 'Q9Y3U8', 'P62851', 'P62857', 'P62906', 'P62910', 'P46779', 'P46776', 'P46781', 'P42766', 'P08865', 'P05388', 'P25398', 'P61247', 'P61254', 'P61313', 'P62273', 'P62979', 'P39023', 'P42677']"
1181,C complex spliceosome,49,"['Q9UNP9', 'Q13573', 'Q14331', 'P07910', 'Q96DF8', 'O60508', 'P51991', 'Q9BZJ0', 'P22626', 'Q9ULR0', 'Q9NW64', 'P17844', 'Q9BUQ8', 'P62304', 'P62318', 'O43660', 'Q9H307', 'Q6NZY4', 'Q14562', 'O95391', 'O43390', 'O60306', 'O60506', 'Q9UQ35', 'P08579', 'Q9Y5S9', 'P61978', 'P62306', 'P62314', 'Q13435', 'O43290', 'Q86V81', 'Q8IYB3', 'Q07955', 'Q15459', 'P11940', 'Q15428', 'P09651', 'P09661', 'Q9Y333', 'Q9UMS4', 'Q12874', 'Q9HCG8', 'P38159', 'P62310', 'Q9P013', 'P62316', 'Q96DI7', 'Q13523']"
308,"60S ribosomal subunit, cytoplasmic",37,"['P50914', 'P83881', 'Q02878', 'P46778', 'P61513', 'P62917', 'Q07020', 'P36578', 'P40429', 'P49207', 'P62750', 'P47914', 'P62829', 'P62899', 'P05387', 'P18124', 'P18621', 'P26373', 'P30050', 'P46777', 'P62424', 'P83731', 'P84098', 'Q02543', 'P35268', 'P61353', 'P62888', 'Q9Y3U8', 'P62906', 'P62910', 'P46779', 'P46776', 'P42766', 'P05388', 'P61254', 'P61313', 'P39023']"
320,"55S ribosome, mitochondrial",34,"['Q9NRX2', 'Q4U2R6', 'P51398', 'Q9NQ50', 'P09001', 'Q9BYD2', 'Q9Y676', 'Q13084', 'P82664', 'Q9P015', 'Q9BYD3', 'Q7Z7F7', 'P49406', 'P82932', 'Q9H2W6', 'Q8IXM3', 'Q13405', 'Q9NYK5', 'P82673', 'Q16540', 'Q92552', 'Q9HD33', 'Q9Y3D5', 'P82921', 'P82933', 'Q9Y3D9', 'Q9NP92', 'P52815', 'Q8N983', 'Q9BZE1', 'P82912', 'Q9Y3B7', 'Q9Y2R5', 'Q9Y2R9']"
305,"40S ribosomal subunit, cytoplasmic",30,"['P60866', 'P62241', 'P08708', 'P62861', 'P39019', 'P62701', 'P23396', 'P62753', 'P62847', 'P46782', 'P46783', 'P62277', 'P62841', 'P62854', 'P62280', 'P62269', 'P15880', 'P63220', 'P62081', 'P62263', 'P62266', 'P62851', 'P62857', 'P46781', 'P08865', 'P25398', 'P61247', 'P62273', 'P62979', 'P42677']"
338,"40S ribosomal subunit, cytoplasmic",29,"['P60866', 'P62241', 'P08708', 'P62861', 'P39019', 'P62701', 'P23396', 'P62753', 'P62847', 'P46782', 'P46783', 'P62277', 'P62841', 'P62854', 'P62280', 'P62269', 'P15880', 'P63220', 'P62081', 'P62263', 'P62266', 'P62851', 'P62857', 'P46781', 'P08865', 'P25398', 'P61247', 'P62273', 'P62979']"
8371,"Spliceosome, B complex",27,"['O43447', 'P55769', 'O75554', 'P62304', 'P62318', 'Q8WWY3', 'Q9BZL1', 'O43172', 'P08579', 'P62306', 'P62314', 'Q13435', 'O43290', 'Q7RTV0', 'Q15459', 'Q9Y3B4', 'Q15427', 'Q15428', 'O95777', 'O43395', 'P09661', 'Q9Y333', 'Q9Y4Z0', 'Q12874', 'P62310', 'P62316', 'Q96DI7']"
